
	Caracteristiques modele d'atmosphere

139
  0.0000000000D+00	  1.3359166667D-02
  1.0000000000D+03	  1.2269166667D-02
  2.0000000000D+03	  1.1272166667D-02
  3.0000000000D+03	  1.0354500000D-02
  4.0000000000D+03	  9.5125833333D-03
  5.0000000000D+03	  8.7392500000D-03
  6.0000000000D+03	  8.0175000000D-03
  7.0000000000D+03	  7.3563333333D-03
  8.0000000000D+03	  6.7501666667D-03
  9.0000000000D+03	  6.1947500000D-03
  1.0000000000D+04	  5.6856666667D-03
  1.1000000000D+04	  5.1924166667D-03
  1.2000000000D+04	  4.7425833333D-03
  1.3000000000D+04	  4.3322500000D-03
  1.4000000000D+04	  3.9577500000D-03
  1.5000000000D+04	  3.6161666667D-03
  1.6000000000D+04	  3.2877500000D-03
  1.7000000000D+04	  2.9896666667D-03
  1.8000000000D+04	  2.7186666667D-03
  1.9000000000D+04	  2.4728333333D-03
  2.0000000000D+04	  2.2492500000D-03
  2.1000000000D+04	  2.0341666667D-03
  2.2000000000D+04	  1.8399166667D-03
  2.3000000000D+04	  1.6644166667D-03
  2.4000000000D+04	  1.5058333333D-03
  2.5000000000D+04	  1.3625833333D-03
  2.6000000000D+04	  1.2233333333D-03
  2.7000000000D+04	  1.0983333333D-03
  2.8000000000D+04	  9.8635000000D-04
  2.9000000000D+04	  8.8578333333D-04
  3.0000000000D+04	  7.9566666667D-04
  3.1000000000D+04	  7.0986666667D-04
  3.2000000000D+04	  6.3344166667D-04
  3.3000000000D+04	  5.6530833333D-04
  3.4000000000D+04	  5.0462500000D-04
  3.5000000000D+04	  4.5052500000D-04
  3.6000000000D+04	  3.9895000000D-04
  3.7000000000D+04	  3.5335000000D-04
  3.8000000000D+04	  3.1301666667D-04
  3.9000000000D+04	  2.7734166667D-04
  4.0000000000D+04	  2.4580000000D-04
  4.1000000000D+04	  2.1477500000D-04
  4.2000000000D+04	  1.8765000000D-04
  4.3000000000D+04	  1.6396666667D-04
  4.4000000000D+04	  1.4330833333D-04
  4.5000000000D+04	  1.2527500000D-04
  4.6000000000D+04	  1.1103916667D-04
  4.7000000000D+04	  9.8433333333D-05
  4.8000000000D+04	  8.7271666667D-05
  4.9000000000D+04	  7.7381666667D-05
  5.0000000000D+04	  6.8617500000D-05
  5.1000000000D+04	  6.0787500000D-05
  5.2000000000D+04	  5.3850000000D-05
  5.3000000000D+04	  4.7707500000D-05
  5.4000000000D+04	  4.2267500000D-05
  5.5000000000D+04	  3.7450000000D-05
  5.6000000000D+04	  3.3275000000D-05
  5.7000000000D+04	  2.9563333333D-05
  5.8000000000D+04	  2.6266666667D-05
  5.9000000000D+04	  2.3339166667D-05
  6.0000000000D+04	  2.0735833333D-05
  6.1000000000D+04	  1.8466666667D-05
  6.2000000000D+04	  1.6443333333D-05
  6.3000000000D+04	  1.4645000000D-05
  6.4000000000D+04	  1.3040833333D-05
  6.5000000000D+04	  1.1613750000D-05
  6.6000000000D+04	  1.0355833333D-05
  6.7000000000D+04	  9.2342500000D-06
  6.8000000000D+04	  8.2327500000D-06
  6.9000000000D+04	  7.3407500000D-06
  7.0000000000D+04	  6.5456666667D-06
  7.1000000000D+04	  5.8296666667D-06
  7.2000000000D+04	  5.1918333333D-06
  7.3000000000D+04	  4.6240833333D-06
  7.4000000000D+04	  4.1184166667D-06
  7.5000000000D+04	  3.6682500000D-06
  7.6000000000D+04	  3.2871666667D-06
  7.7000000000D+04	  2.9457500000D-06
  7.8000000000D+04	  2.6401666667D-06
  7.9000000000D+04	  2.3664166667D-06
  8.0000000000D+04	  2.1211666667D-06
  8.1000000000D+04	  1.9018333333D-06
  8.2000000000D+04	  1.7051666667D-06
  8.3000000000D+04	  1.5231666667D-06
  8.4000000000D+04	  1.3438333333D-06
  8.5000000000D+04	  1.1751583333D-06
  8.6000000000D+04	  1.0248000000D-06
  8.7000000000D+04	  8.9385833333D-07
  8.8000000000D+04	  7.7896666667D-07
  8.9000000000D+04	  6.7703333333D-07
  9.0000000000D+04	  5.8712500000D-07
  9.1000000000D+04	  5.0881666667D-07
  9.2000000000D+04	  4.4097500000D-07
  9.3000000000D+04	  3.8194166667D-07
  9.4000000000D+04	  3.3002500000D-07
  9.5000000000D+04	  2.8467500000D-07
  9.6000000000D+04	  2.4542500000D-07
  9.7000000000D+04	  2.1155833333D-07
  9.8000000000D+04	  1.8229166667D-07
  9.9000000000D+04	  1.5679166667D-07
  1.0000000000D+05	  1.3467666667D-07
  1.0100000000D+05	  1.1562916667D-07
  1.0200000000D+05	  9.9270000000D-08
  1.0300000000D+05	  8.5182500000D-08
  1.0400000000D+05	  7.2989166667D-08
  1.0500000000D+05	  6.2457500000D-08
  1.0600000000D+05	  5.3433333333D-08
  1.0700000000D+05	  4.5712500000D-08
  1.0800000000D+05	  3.9097500000D-08
  1.0900000000D+05	  3.3399166667D-08
  1.1000000000D+05	  2.8508333333D-08
  1.1100000000D+05	  2.4329166667D-08
  1.1200000000D+05	  2.0762500000D-08
  1.1300000000D+05	  1.7725833333D-08
  1.1400000000D+05	  1.5145833333D-08
  1.1500000000D+05	  1.2943250000D-08
  1.1600000000D+05	  1.1061916667D-08
  1.1700000000D+05	  9.4555000000D-09
  1.1800000000D+05	  8.0900219797D-09
  1.1900000000D+05	  6.9422865692D-09
  1.2000000000D+05	  5.9711455066D-09
  1.2100000000D+05	  5.1411694195D-09
  1.2200000000D+05	  4.4287724307D-09
  1.2300000000D+05	  3.8172963552D-09
  1.2400000000D+05	  3.2923626930D-09
  1.2500000000D+05	  2.8424058362D-09
  1.2600000000D+05	  2.4561883942D-09
  1.2700000000D+05	  2.1243626956D-09
  1.2800000000D+05	  1.8389990804D-09
  1.2900000000D+05	  1.5933635387D-09
  1.3000000000D+05	  1.3817313762D-09
  1.3100000000D+05	  1.1991739690D-09
  1.3200000000D+05	  1.0407364504D-09
  1.3300000000D+05	  9.0323204734D-10
  1.3400000000D+05	  7.8389503035D-10
  1.3500000000D+05	  6.8032508415D-10
  1.3600000000D+05	  6.8032508415D-10
  1.3700000000D+05	  0.0000000000D+00
  1.3800000000D+05	  0.0000000000D+00
 -1.                   tranches d'altitude du gabarit d'erreurs de densite
 40
 80.
110.
150.
 50.                   dispersions max de densite sur le gabarit  (%)
 50.
 50.
 50.
 50.
  6.76329d-02	        densite du modele exponentiel  (kg/m3)
  1.33399d-04	        facteur d'echelle du modele exponentiel (m-1)
  0.0                   altitude initiale du modele exponentiel (m)
  1.3	                constante des gaz atmosphere planete cible 



